City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description,Rain inches (last 3 hours),Snow inches (last 3 hours)
162,Alofi,NU,2020-04-04 8:02,-19.06,-169.92,68,77,100,4.7,overcast clouds,0,0
163,Emmett,US,2020-04-04 8:02,43.87,-116.5,39,74,29,3.91,scattered clouds,0,0
164,Yar-Sale,RU,2020-04-04 8:02,66.83,70.83,4.48,94,1,13.18,clear sky,0,0
165,San Pedro,AR,2020-04-04 8:02,-33.68,-59.66,64.99,85,80,2.57,broken clouds,0,0
166,Roma,IT,2020-04-04 8:02,41.89,12.48,66.99,77,40,5.82,scattered clouds,0,0
167,Candolim,IN,2020-04-04 8:02,15.52,73.76,87.8,66,20,12.75,few clouds,0,0
168,Waitati,NZ,2020-04-04 8:02,-45.75,170.57,54,93,4,5.99,clear sky,0,0
169,Neepawa,CA,2020-04-04 8:02,50.23,-99.46,24.8,92,75,8.05,broken clouds,0,0
170,Ossora,RU,2020-04-04 8:02,59.24,163.07,38.08,95,100,26.98,light rain,1.94,0
171,Ayorou,NE,2020-04-04 8:02,14.73,0.92,91.11,22,88,3.94,overcast clouds,0,0
172,Port Maria,JM,2020-04-04 8:02,18.37,-76.89,78.8,69,20,5.82,few clouds,0,0
173,Portland,US,2020-04-04 8:02,43.66,-70.25,39.2,60,1,8.05,clear sky,0,0
174,Praia Da Vitoria,PT,2020-04-04 8:02,38.73,-27.07,62.6,100,90,17.11,overcast clouds,0,0
175,Rio Gallegos,AR,2020-04-04 8:02,-51.62,-69.22,42.8,60,8,27.51,clear sky,0,0
176,College,US,2020-04-04 8:02,64.86,-147.8,15.8,92,1,4.7,clear sky,0,0
177,Karasjok,NO,2020-04-04 8:02,69.47,25.52,30.2,58,20,40.26,few clouds,0,0
178,Dudinka,RU,2020-04-04 8:02,69.41,86.18,-0.41,84,75,20.13,light shower snow,0,0
179,Kikwit,CD,2020-04-04 8:02,-5.04,18.82,83.97,61,100,4.59,overcast clouds,0,0
180,Quilmana,PE,2020-04-04 8:02,-12.95,-76.38,60.35,91,65,2.33,broken clouds,0,0
181,Samarai,PG,2020-04-04 8:02,-10.62,150.67,74.68,92,100,5.1,light rain,0.75,0
182,Price,US,2020-04-04 8:02,39.6,-110.81,34,31,1,6.93,clear sky,0,0
